,Date,User,Tweet,Likes,Comments,Retweets,Views
0,2023-04-07 18:01:56+00:00,TheKnowledgeHou,"This is your chance to #TapIn to the #TechIndustry by learning how to use #tech to advance your career!

Sign up: https://t.co/mfdJcCFArL

#ExpandOpportunity #ComputerClasses #ComputerWorkshops #TechWorkshops #workshops https://t.co/H0cf1kI2FI",1,0,0,32.0
1,2023-04-06 16:04:44+00:00,TheKnowledgeHou,"The Knowledge House is hiring #Career Coaches!
Check out our website to #learn more about our open roles. Please share widely! ⬆️

#ExpandOppotunity #hiring #jobs #jobsearch #JobHunting #jobseeker #jobopportunity https://t.co/PEh1vaJ6U2",0,0,0,42.0
2,2023-04-05 18:02:14+00:00,TheKnowledgeHou,"Let's give it up to Kwame Bullen, our current #Innovation Fellow in #webdevelopment!

""To start my journey, I’m utilizing the fellowship to transform myself into the software engineer that I want to become. ""

#MeetTheTalent #StudentSpotlight #Spotlight #webdeveloper #programming https://t.co/4ed6dI3jbX",2,0,0,54.0
3,2023-04-04 19:31:11+00:00,TheKnowledgeHou,"It’s #TechTuesday!
Join us for a #DayintheLife this Thursday at 7pm with Lidia De La Cruz, a #Developer Advocate, Consultant Developer, and #CareerTransitioner in the world of #tech.

https://t.co/Yo0nDOe5bm

#techie #instatech #TechTuesday #workshops #TechWebinar #WebDevelopment https://t.co/rMaE1mbVIy",2,1,1,109.0
4,2023-04-03 19:02:58+00:00,TheKnowledgeHou,"TKH is having #OpenHouses at all of our expansion sites!

RSVP -
#NewYork: 
https://t.co/PWln2eixKp

#Atlanta: 
https://t.co/Bl7u73UfDo

#LosAngeles: 
https://t.co/kc7EgggbcA

#Newark: 
https://t.co/7GJ64vgEdn

#NYCEvents #LA #LAEvents #Recruitment #MondayMotivation #Uber https://t.co/q9ri15nS3h",3,0,0,87.0
5,2023-03-30 20:28:37+00:00,TheKnowledgeHou,Join us tomorrow for more information on our #innovation fellowship! Rsvp: https://t.co/neNDVKwBEo https://t.co/TSEheDyoWN,0,0,0,37.0
6,2023-03-30 18:45:12+00:00,TheKnowledgeHou,"Check out our monthly workshop, on April 3rd, at 7pm ET (4pm PT), where we'll be discussing the importance and how to make the most out of #interviewing. 

RSVP: https://t.co/aPLYoBeNxP

#ExpandOpprtunity #Interviewtips #workshop #Collegeworkshop #KKCF #Coding #interviews https://t.co/eSJ9JtnNNC",1,0,0,41.0
7,2023-03-29 18:45:15+00:00,TheKnowledgeHou,"It's #WomenCrushWednesday &amp; today we're checking out Neelam Dhawan from Gurgaon, Haryana, #India.

Read more about Neelam here: https://t.co/DIq6WSaLqg

#WomenSupportingWomen #WCM #WomensHistoryMonth #WHM #POC #WomenInTech https://t.co/cxMinCDzcM",0,0,0,41.0
8,2023-03-28 18:35:13+00:00,TheKnowledgeHou,"#MeetTheTalent #DataScience Fellow, Tom Pham! 

""Since starting, I’ve been practicing with programs such as #Python, #SQL &amp; practicing with #LeetCode questions. I hope to continue to expand my education by gaining #certificates &amp; real-life experiences."" 

#StudentSpotlight #Tech https://t.co/HeBECIcAZN",2,0,0,46.0
9,2023-03-27 20:05:10+00:00,TheKnowledgeHou,"Join us for a #DayintheLife: Working in #CyberSecurity with Umar Farouk Muftau, a TKH #Fellow currently working at @Barclays Thursday, March 30th at 8:30pm EST. 

RSVP https://t.co/jLFyflHUWy

#ExpandOpportunity #Tech #TechEvents #Workshops #MondayMotivation https://t.co/pq1OPoiomx",0,0,0,63.0
10,2023-03-24 18:51:38+00:00,TheKnowledgeHou,"Big thank you to New Village Girls Academy for our staff this week. It was a pleasure to meet with the students and share with them about the fellowships that The Knowledge House offers. 

#ExpandOpportunity #girlpower #tech #losangeles https://t.co/FXBPprzvzF",0,0,0,49.0
11,2023-03-23 16:15:29+00:00,TheKnowledgeHou,"#MeetTheTalent Lucas Higgs! 
""My goal is to start a career in #cybersecurity after I graduate from The Knowledge House. I hope to get a job that I will enjoy long-term and see myself climbing up the ranks in a promotion."" 

#StudentSpotlight #Innovation #Tech #Linux #NewJersey https://t.co/ufn5Ka9cQk",1,0,0,59.0
12,2023-03-22 18:30:30+00:00,TheKnowledgeHou,"Applications are officially open! Both KKCF &amp; The Innovation Fellowship is officially available on our site. Eligible folks from #NewYork, #Atlanta, #Newark, &amp; #LosAngeles are encouraged to apply.

Apply now: https://t.co/9mjyH7Gbab

#Tech #TechProgram #Coding #CodingFellowship https://t.co/Su3yCLa0cn",2,0,0,149.0
13,2023-03-22 16:03:03+00:00,TheKnowledgeHou,"Happy Women’s History Month! We’re continuing #WomensHistoryMonth with our good sis Marian Croak. Watch this video to learn more about her contributions to tech: https://t.co/qWqDoCXFr2

#WCW #tech #WomenCrushWednesday #WHM #POC #WomenInTech #Patent #Google #AI https://t.co/rlqEIa7iSo",2,0,0,46.0
14,2023-03-21 15:02:53+00:00,TheKnowledgeHou,"To our #UXUI friends! Happy #TopicTuesday 🧡 
Join us for a #DayintheLife: Working in UX/UI with Faith Withcer, a current TKH #Fellow, Thursday, March 23th at 7pm.

RSVP: https://t.co/LTLTb9Q6Bx

#ExpandOpportunity #Tech #TechEvents #TechJobs #Workshops #uxdesign #uidesign https://t.co/4AZDrIxgwL",1,0,0,33.0
15,2023-03-20 18:26:01+00:00,TheKnowledgeHou,"Welcome to all our new TKH #team members!

#ExpandOpporunity #NewHires #TeamWork #DreamWork #NonProfit #MondayMotivation #FirstDayofSpring https://t.co/oGW0opmcXS",0,0,0,75.0
16,2023-03-17 20:01:19+00:00,TheKnowledgeHou,"The Knowledge House is hiring!
Check out our website to #learn more about are open roles. Please share widely! ⬆️

#ExpandOppotunity #hiring #jobs #jobsearch #JobHunting #jobseeker #career #jobopportunity https://t.co/PB7dUQcjea",0,0,2,53.0
17,2023-03-17 16:42:22+00:00,TheKnowledgeHou,"Congrats to our #StaffofTheMonth, Shaunya Brabham! 

Shaunya has been integral in identifying pipeline leads &amp; opportunities in #ATL for #recruitment &amp; very communicative about fellows' equipment needs.

#StaffSpotlight #Staff #MonthlySpotlight #TKHCommunity #FunFridays #Friyay https://t.co/tJDGfQ09oX",1,0,0,42.0
18,2023-03-15 18:07:10+00:00,TheKnowledgeHou,"Happy #WomenCrushWednesday! Innovative queen Angela Guzman put her creativity to the test and changed the IM experience for users around the world. Read about her journey here: https://t.co/QSU8LxUGMh

#WHM #WomensHistoryMonth #POC #WomeninTech #Apple #Emoji #UXUI #GraphicDesign https://t.co/rpC8Clcxiu",1,0,0,828.0
19,2023-03-14 17:20:19+00:00,TheKnowledgeHou,"This weekend our staff had the privilege to attend the Women’s conference at Cerritos College and it was an awesome event! Thank you so much @cerritoscollege for hosting!

#ExpandOpportunity #LA #LAEvents #WHM #Conference https://t.co/vOJfBvO2uW",2,0,0,46.0
20,2023-03-13 19:12:07+00:00,TheKnowledgeHou,"It's here and it's weekly! Join us for a #DayintheLife: Working in #WebDevelopment with Jahaziel Israel, a TKH #Alumni working as a #TechnicalProjectManager, Thursday, March 16th at 7pm. 

RSVP! https://t.co/5B8lZd7hdR 

#Tech #TechEvents #TechJobs #Workshops #WebDev https://t.co/a3g1xBNRLN",1,0,0,44.0
21,2023-03-09 17:02:12+00:00,TheKnowledgeHou,"Rigoberto Obregón for the win! Shout out to our #LA Fellows in the #DataScience track. 

""As a #computerscience professional, I want to retake my path by working on software development, databases, and business intelligence projects."" 

#tech #StudentSpotlight #spotlight #SQL https://t.co/0ybwiSHd5o",2,0,0,39.0
22,2023-03-08 17:02:36+00:00,TheKnowledgeHou,"Behind every successful woman is a tribe of other successful women who have her back.

Happy International Women’s Day, today and everyday.

#ExpandOpportunity #womensday #womensday2023 #internationalwomensday #WHM #WomensHistoryMonth #POC https://t.co/z6GcR1tY89",2,0,1,36.0
23,2023-03-06 22:21:28+00:00,TheKnowledgeHou,"We're excited to present our first #DayInTheLife virtual session exploring our #DataScience track! Join us w/ Janet Perez, a TKH #Alumni working as a #SoftwareEngineer, Thursday, March 9th at 7pm.

https://t.co/wngY0CXqpx

#ExpandOpportunity #Tech #TechEvents #TechJobs https://t.co/pllJSSeVPu",1,0,0,22.0
24,2023-03-01 20:30:29+00:00,TheKnowledgeHou,"Making a decision on the right #college can be difficult. Making sure to establish a framework can help you arrive at a sound decision &amp; eliminate pressure in the decision-making process.

RSVP: https://t.co/aPLYoBeNxP

#ExpandOpportunity #TechWorkshop #CareerChange #CollegPlans https://t.co/4yWKTsvU0I",1,0,0,40.0
25,2023-03-01 17:02:25+00:00,TheKnowledgeHou,"Meet Emilie Dionisio! She's a passionate #CyberSecurity Fellow from #NYC.

""My passion lies in network security and incident response, and I am eager to tackle real-world challenges as I progress in my career.""

#ExpandOpportunity #StudentSpotlight #Innovation #WHM https://t.co/uXE72S3A7U",3,0,0,108.0
