title,id,url,viewCount,date,likes,duration,commentsCount
#ThrowbackThursday KKCF Closing reflections - Alex Ortiz,XSv9L3X06no,https://www.youtube.com/watch?v=XSv9L3X06no,23,2023-01-12,1,0:51,0.0
TKH 2022 Recap!,MRK-udGUqHE,https://www.youtube.com/watch?v=MRK-udGUqHE,79,2022-12-31,4,1:43,1.0
I wanted to learn more about what's out there in tech...… - Rahatan's Story,6ROEezBabdk,https://www.youtube.com/watch?v=6ROEezBabdk,22,2022-12-23,1,1:43,0.0
I am part of this prestigious fellowship because… - Aaron's Story,dmMYfGAHPsA,https://www.youtube.com/watch?v=dmMYfGAHPsA,28,2022-12-20,4,1:0,0.0
My life changed with an opportunity … - Edward's Story,dKELjCM5cnM,https://www.youtube.com/watch?v=dKELjCM5cnM,41,2022-12-13,8,2:2,0.0
TKH TURNS 8! Our Message to you!,EZkV1sJOuD4,https://www.youtube.com/watch?v=EZkV1sJOuD4,17,2022-12-08,0,11:23,0.0
It all started with a project at my job... - Burnaur's Story,RsXOufa0Amo,https://www.youtube.com/watch?v=RsXOufa0Amo,62,2022-12-06,4,2:6,2.0
TKH x Accenture: OUR FIRST CORPORATE RECEPTION!,bQyxCprvlpM,https://www.youtube.com/watch?v=bQyxCprvlpM,40,2022-12-02,1,1:45,0.0
TKH TURNS 8!,lVXT300xGcI,https://www.youtube.com/watch?v=lVXT300xGcI,10,2022-12-01,0,1:57,0.0
I'm the first one in my family to graduate from college - Joselyn's Story,uPDWid-Nuyo,https://www.youtube.com/watch?v=uPDWid-Nuyo,87,2022-11-29,1,2:6,1.0
Innovation Captsone Project: Homeseeker,h9RtSnLmyBM,https://www.youtube.com/watch?v=h9RtSnLmyBM,26,2022-09-17,0,5:54,0.0
Innovation Captsone Project: TKH Cyber Solutions,2cRj-MWQhuM,https://www.youtube.com/watch?v=2cRj-MWQhuM,25,2022-09-16,0,,
Innovation Captsone Project: GameStop,TJGmSuhB9ME,https://www.youtube.com/watch?v=TJGmSuhB9ME,15,2022-09-15,0,17:52,0.0
